material,cor_material,codigo_barra,grupo,subgrupo,categoria_produto,path_completo,qtde_estoque
03.01.0557,60,215459,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000215459.jpg,13.0
03.01.0530,60,219133,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000219133.jpg,160.0
03.01.0475,60,217099,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217099.jpg,54.0
03.01.0426,60,217924,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217924.jpg,3.0
03.01.0428,60,217108,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217108.jpg,4.0
03.01.0422,60,215681,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000215681.jpg,2.0
03.01.0422,60,215681,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\tratada\0000215681.jpg,2.0
03.01.0422,B-26,296155,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000296155.jpg,61.0
03.01.0336,60,225077,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000225077.jpg,122.0
03.01.014,00,225097,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000225097.jpg,0.0
03.01.013,00,225098,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000225098.jpg,0.0
03.01.0213,60,219170,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000219170.jpg,355.0
03.01.0214,60,217946,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217946.jpg,290.0
03.07.2068,R-12,205277,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000205277.jpg,118.0
03.07.2069,R-79,285815,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000285815.jpg,165.0
03.07.2059,B-40B,296173,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000296173.jpg,237.0
03.07.2073,R-03,296103,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000296103.jpg,235.0
03.07.2073,R-11,289170,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000289170.jpg,464.0
03.07.2073,R-55,296831,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000296831.jpg,320.0
03.07.2064,R-11,289166,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000289166.jpg,518.0
03.07.2064,R-40,283672,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000283672.jpg,214.0
03.07.2064,R-631,285818,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000285818.jpg,840.0
03.07.2064,R-64,209765,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000209765.jpg,435.0
03.07.2064,R-90,289167,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000289167.jpg,124.0
03.06.9014,60,304412,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000304412.jpg,1952.0
03.06.9018,07,308036,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000308036.jpg,1.0
03.06.9018,23F,311258,03 - ZIPER,ZIPER NYLON GROSSO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000311258.jpg,12.0
