material,cor_material,codigo_barra,grupo,subgrupo,categoria_produto,path_completo,qtde_estoque
S3333081.UN,S278,0000036806,05 - BOTOES,BOTOES METAL FIXO,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000036806.jpg,10.0
S3333272,S-24,0000042303,05 - BOTOES,BOTOES DE MADREPEROLA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000042303.jpg,50.0
S3333272,S205,0000039855,05 - BOTOES,BOTOES DE MADREPEROLA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000039855.jpg,120.0
S3333246.18,S277,0000053322,05 - BOTOES,BOTOES MASSA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000053322.jpg,95.0
S3333246.18,S393,0000038430,05 - BOTOES,BOTOES MASSA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000038430.jpg,150.0
S3333240,S198,0000042306,05 - BOTOES,BOTOES METAL PRESSAO,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000042306.jpg,39.0
S3333220.UN,S01,0000036802,05 - BOTOES,BOTOES MASSA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000036802.jpg,118.0
S3333220.UN,S10,0000037414,05 - BOTOES,BOTOES MASSA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000037414.jpg,14.0
S3333220.UN,S37,0000039658,05 - BOTOES,BOTOES MASSA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000039658.jpg,4004.0
S3333221.UN,S10,0000042105,05 - BOTOES,BOTOES DE MADREPEROLA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000042105.jpg,130.0
S3333221.UN,S288,0000042513,05 - BOTOES,BOTOES DE MADREPEROLA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000042513.jpg,12.0
S3232031.11,S277,0000037428,06 - AVIAMENTOS (OUTROS),BARBATANA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000037428.jpg,47.0
S3131185,S450,0000037431,06 - AVIAMENTOS (OUTROS),PILOTO AVIOS - NAO USAR,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000037431.jpg,201.0
S3333278,S471,0000039651,05 - BOTOES,BOTOES MASSA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000039651.jpg,299.0
S3333276,S607,0000038427,05 - BOTOES,BOTOES MASSA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000038427.jpg,25.0
S2121028,S277,0000046802,06 - AVIAMENTOS (OUTROS),ELASTICO,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000046802.jpg,261.0
S2121095,S277,0000045976,06 - AVIAMENTOS (OUTROS),ELASTICO,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000045976.jpg,325.0
S2626264,S281,0000046524,06 - AVIAMENTOS (OUTROS),PILOTO AVIOS - NAO USAR,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000046524.jpg,50.0
S1919219,S477,0000044362,04 - ETIQUETAS,ETIQUETA BORDADA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000044362.jpg,50.0
S2626179,S198,0000046735,06 - AVIAMENTOS (OUTROS),FECHO,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000046735.jpg,12.0
S2626038,S193,0000044313,06 - AVIAMENTOS (OUTROS),GANCHO,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000044313.jpg,21.0
S2929553,S700,0000034231,05 - BOTOES,BOTOES METAL FLEXIVEL,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000034231.jpg,3.0
S2929564,S281,0000043001,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000043001.jpg,0.0
S2929565,S288,0000042389,06 - AVIAMENTOS (OUTROS),PINGENTE,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000042389.jpg,200.0
S2929535,S198,0000043411,06 - AVIAMENTOS (OUTROS),PLACA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000043411.jpg,19.0
S2929523,S281,0000039944,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000039944.jpg,18.0
S2929509,S277,0000036273,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000036273.jpg,40.0
S2929485,29,0000325582,06 - AVIAMENTOS (OUTROS),ILHOS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000325582.jpg,586.0
S2929411,S-607,0000042604,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000042604.jpg,114.0
S2929370,S278,0000037509,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000037509.jpg,277.0
S2929390,S-576,0000042198,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000042198.jpg,47.0
S2929380,S-092,0000042812,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000042812.jpg,0.0
S2929380,S-571,0000042608,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000042608.jpg,1.0
S2929380,S132,0000036896,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000036896.jpg,30.0
S2929380,S483,0000043423,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000043423.jpg,365.0
S2929360,S456,0000034246,06 - AVIAMENTOS (OUTROS),ILHOS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000034246.jpg,35.0
S2929360,S620,0000035878,06 - AVIAMENTOS (OUTROS),ILHOS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000035878.jpg,72.0
S5656147,S100,0000029668,07 - EMBALAGEM,PAPEL,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000029668.jpg,113.0
04.02.1004,V-01,0000206575,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000206575.jpg,500.0
04.02.1017,V-01,0000205146,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000205146.jpg,72.0
04.02.0903,V-0598,0000208619,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000208619.jpg,500.0
04.02.0939,V-12,0000200050,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000200050.jpg,149.0
04.02.0940,V-03,0000214942,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000214942.jpg,505.0
04.02.0940,V-12,0000199846,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000199846.jpg,429.0
04.02.0906,V-0598,0000208007,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000208007.jpg,347.0
04.02.0907,V-0598,0000205151,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000205151.jpg,146.0
04.02.0908,V-0598,0000203519,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000203519.jpg,450.0
04.02.0909,V-0598,0000201275,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000201275.jpg,276.0
04.02.0910,V-0987,0000201479,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000201479.jpg,289.0
04.02.0911,V-0533,0000200051,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000200051.jpg,266.0
04.02.0912,V-0533,0000214943,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000214943.jpg,45.0
04.02.1020,V-12,0000199842,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000199842.jpg,888.0
04.02.1010,V-12,0000202087,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000202087.jpg,104.0
04.02.1011,V-12,0000207391,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000207391.jpg,38.0
04.02.1088,V-08,0000205142,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000205142.jpg,152.0
04.02.1089,V-08,0000203510,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000203510.jpg,700.0
04.02.1090,V-08,0000201266,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000201266.jpg,178.0
04.02.1091,V-08,0000201470,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000201470.jpg,208.0
04.02.1093,V-08,0000214934,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000214934.jpg,656.0
04.02.1100,V-01,0000202082,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000202082.jpg,6416.0
04.02.1101,V-01,0000201062,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000201062.jpg,114.0
04.02.1115,V-60,0000278354,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000278354.jpg,464.0
04.02.1233,V-20,0000288136,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000288136.jpg,769.0
04.02.1233,V-60,0000288137,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000288137.jpg,1774.0
04.02.1235,V-PT,0000288837,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000288837.jpg,1846.0
04.02.1231,V-12,0000289019,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000289019.jpg,2373.0
04.02.1231,V-20,0000288131,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000288131.jpg,962.0
04.02.1231,V-60,0000288132,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000288132.jpg,1317.0
04.02.1216,V-01,0000286981,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000286981.jpg,183.0
04.02.1216,V-12L,0000295951,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000295951.jpg,4931.0
04.02.1216,V-60,0000295755,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000295755.jpg,4736.0
04.02.1220,V-08,0000287454,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000287454.jpg,1989.0
04.02.1220,V-60,0000287455,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000287455.jpg,3012.0
04.02.1221,V-08,0000287456,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000287456.jpg,702.0
04.02.1221,V-60,0000287457,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000287457.jpg,2575.0
04.02.1222,V-08,0000287458,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000287458.jpg,2651.0
04.02.1222,V-60,0000287459,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000287459.jpg,2.0
04.02.1223,V-08,0000287460,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000287460.jpg,2575.0
04.02.1223,V-60,0000287461,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000287461.jpg,2647.0
04.02.1224,V-12L,0000287468,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000287468.jpg,1573.0
04.02.1200,V-01,0000283183,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000283183.jpg,21.0
04.02.1202,V-01,0000283211,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000283211.jpg,767.0
04.02.1202,V-12,0000283213,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000283213.jpg,12866.0
04.02.1203,V-01,0000283219,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000283219.jpg,6.0
04.02.1203,V-12,0000283221,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000283221.jpg,1839.0
04.02.1204,V-01,0000283223,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000283223.jpg,1154.0
04.02.1177,V-08,0000282542,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000282542.jpg,118.0
04.02.1177,V-60,0000287464,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000287464.jpg,47.0
04.02.1170,V-01,0000282525,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000282525.jpg,412.0
04.02.1170,V-12,0000282526,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000282526.jpg,3.0
04.02.1128,V-12,0000280565,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000280565.jpg,67.0
04.02.1172,V-12,0000282533,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000282533.jpg,338.0
04.02.1303,V-12A,0000298578,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000298578.jpg,1555.0
04.02.0861,V-0598,0000202501,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000202501.jpg,23.0
04.02.0844,V-0987,0000201482,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000201482.jpg,200.0
04.02.0845,V-0987,0000200054,04 - ETIQUETAS,ETIQUETA BORDADA,VR,\\192.168.50.80\img_est_mp\Fotos_MP\0000200054.jpg,199.0
